image,class,abundance,probability
1524_01_03.json,American Bistort,3,0
1524_01_03.json,Subalpine Lupine,1,0
1483_02_04.json,Subalpine Lupine,4,0
1458_02_02.json,Magenta Paintbrush,1,0
1636_01_02.json,Subalpine Lupine,1,0
1765_01_01.json,American Bistort,42,0
1537_02_03.json,Subalpine Lupine,4,0
1246_01_03.json,Mountain Daisy,3,0
1014_02_01.json,Subalpine Lupine,2,0
1147_02_02.json,Subalpine Lupine,7,0
1028_02_03.json,Gray's Lovage,5,0
1028_02_03.json,Subalpine Lupine,2,0
1495_03_02.json,Gray's Lovage,1,0
1495_03_02.json,Subalpine Lupine,2,0
1772_03_04.json,Gray's Lovage,2,0
1809_03_01.json,Mountain Daisy,1,0
1169_02_03.json,Sharptooth Angelica,6,0
1169_02_03.json,Subalpine Lupine,1,0
1268_01_02.json,Subalpine Lupine,28,0
1155_02_01.json,Cascade Aster,7,0
1006_02_02.json,Subalpine Lupine,18,0
1006_02_02.json,North Mircoseris,1,0
1476_02_03.json,Gray's Lovage,1,0
1519_02_02.json,Subalpine Lupine,2,0
1618_01_03.json,American Bistort,3,0
1459_01_01.json,Subalpine Lupine,1,0
1637_02_01.json,Mountain Daisy,6,0
1637_02_01.json,Subalpine Lupine,2,0
1465_01_03.json,Magenta Paintbrush,1,0
1465_01_03.json,Subalpine Lupine,7,0
1015_01_02.json,North Mircoseris,1,0
1015_01_02.json,Subalpine Lupine,7,0
1015_01_02.json,Sitka Valerian,1,0
1538_03_04.json,Subalpine Lupine,2,0
1323_02_03.json,Subalpine Lupine,25,0
1171_01_01.json,Subalpine Lupine,2,0
1600_02_01.json,Sharptooth Angelica,1,0
1753_02_02.json,Subalpine Lupine,3,0
1452_01_03.json,Subalpine Lupine,5,0
1452_01_03.json,American Bistort,1,0
1193_03_03.json,Subalpine Lupine,7,0
1788_02_04.json,Subalpine Lupine,9,0
1745_03_04.json,Bracted Lousewort,2,0
1745_03_04.json,Gray's Lovage,1,0
1802_03_03.json,Mountain Daisy,4,0
1802_03_03.json,Subalpine Lupine,8,0
1162_02_01.json,Bracted Lousewort,8,0
1162_02_01.json,American Bistort,3,0
1031_02_02.json,Subalpine Lupine,3,0
1297_02_04.json,Magenta Paintbrush,1,0
1200_02_03.json,Sitka Valerian,1,0
1200_02_03.json,American Bistort,1,0
1200_02_03.json,Mountain Daisy,1,0
1200_02_03.json,Subalpine Lupine,8,0
1052_01_01.json,Subalpine Lupine,8,0
1670_02_02.json,Mountain Daisy,1,0
1723_02_01.json,Subalpine Lupine,1,0
1104_03_04.json,American Bistort,1,0
1104_03_04.json,North Mircoseris,1,0
1104_03_04.json,Subalpine Lupine,7,0
1883_02_02.json,Mountain Daisy,1,0
1883_02_02.json,Subalpine Lupine,6,0
1379_03_04.json,Sitka Valerian,1,0
1379_03_04.json,American Bistort,4,0
1379_03_04.json,Magenta Paintbrush,2,0
1663_01_02.json,Subalpine Lupine,1,0
1112_02_02.json,Subalpine Lupine,19,0
1593_03_01.json,Subalpine Lupine,8,0
1125_02_02.json,Mountain Daisy,1,0
1076_02_01.json,American Bistort,4,0
1076_02_01.json,Subalpine Lupine,9,0
1651_03_04.json,Subalpine Lupine,1,0
1879_03_02.json,Subalpine Lupine,2,0
1555_02_03.json,American Bistort,1,0
1707_01_01.json,Subalpine Lupine,1,0
1707_01_01.json,Sharptooth Angelica,1,0
1654_01_02.json,Subalpine Lupine,6,0
1647_02_02.json,Subalpine Lupine,5,0
1647_02_02.json,American Bistort,1,0
1714_02_01.json,Subalpine Lupine,4,0
1546_01_03.json,Mountain Daisy,6,0
1546_01_03.json,American Bistort,3,0
1546_01_03.json,Sitka Valerian,1,0
1546_01_03.json,Subalpine Lupine,7,0
1546_01_03.json,Magenta Paintbrush,2,0
1133_03_04.json,Sharptooth Angelica,1,0
1133_03_04.json,Gray's Lovage,5,0
1133_03_04.json,Subalpine Lupine,4,0
1358_02_02.json,Sitka Valerian,2,0
1059_01_03.json,American Bistort,1,0
1059_01_03.json,Subalpine Lupine,17,0
1237_02_03.json,Subalpine Lupine,7,0
1065_01_01.json,North Mircoseris,3,0
1065_01_01.json,Subalpine Lupine,6,0
1136_01_02.json,Subalpine Lupine,7,0
1112_01_04.json,American Bistort,7,0
1112_01_04.json,Subalpine Lupine,16,0
1883_01_04.json,Subalpine Lupine,8,0
1117_03_02.json,Cascade Aster,2,0
1044_03_01.json,Subalpine Lupine,1,0
1044_03_01.json,Sitka Valerian,1,0
1044_03_01.json,Gray's Lovage,4,0
1078_03_03.json,Subalpine Lupine,1,0
1596_02_01.json,American Bistort,4,0
1663_02_04.json,Subalpine Lupine,1,0
1585_01_01.json,Subalpine Lupine,15,0
1670_01_04.json,Subalpine Lupine,2,0
1670_01_04.json,Mountain Daisy,1,0
1239_03_01.json,Mountain Daisy,1,0
1726_03_01.json,American Bistort,1,0
1101_02_04.json,American Bistort,1,0
1642_03_02.json,Subalpine Lupine,1,0
1711_03_01.json,Subalpine Lupine,3,0
1711_03_01.json,American Bistort,1,0
1136_02_04.json,American Bistort,1,0
1136_02_04.json,Subalpine Lupine,23,0
1647_01_04.json,Subalpine Lupine,5,0
1232_03_03.json,Subalpine Lupine,3,0
1232_03_03.json,Sharptooth Angelica,1,0
1429_02_04.json,American Bistort,91,0
1386_03_04.json,American Bistort,1,0
1073_03_01.json,Subalpine Lupine,1,0
1654_02_04.json,Subalpine Lupine,3,0
1125_01_04.json,Subalpine Lupine,3,0
1699_03_04.json,American Bistort,1,0
1699_03_04.json,Sharptooth Angelica,1,0
1699_03_04.json,Mountain Daisy,5,0
1082_02_03.json,Cascade Aster,2,0
1550_03_03.json,Subalpine Lupine,2,0
1015_02_04.json,Subalpine Lupine,7,0
1632_03_01.json,Mountain Daisy,1,0
1632_03_01.json,Subalpine Lupine,6,0
1491_01_01.json,Magenta Paintbrush,4,0
1491_01_01.json,Gray's Lovage,1,0
1491_01_01.json,American Bistort,5,0
1491_01_01.json,Mountain Daisy,1,0
1491_01_01.json,Sitka Valerian,3,0
1491_01_01.json,Subalpine Lupine,19,0
1764_01_04.json,Subalpine Lupine,2,0
1519_01_04.json,Subalpine Lupine,2,0
1830_02_03.json,Sitka Valerian,2,0
1830_02_03.json,American Bistort,4,0
1830_02_03.json,Subalpine Lupine,8,0
1003_03_02.json,American Bistort,1,0
1268_02_04.json,Subalpine Lupine,2,0
1006_01_04.json,Subalpine Lupine,12,0
1006_01_04.json,North Mircoseris,4,0
1006_01_04.json,American Bistort,3,0
1444_03_03.json,Subalpine Lupine,2,0
1031_01_04.json,Subalpine Lupine,1,0
1196_02_03.json,Cascade Aster,2,0
1788_01_02.json,Subalpine Lupine,9,0
1489_02_03.json,Subalpine Lupine,8,0
1292_03_04.json,Sitka Valerian,1,0
1814_01_03.json,Subalpine Lupine,2,0
1828_01_01.json,Subalpine Lupine,1,0
1753_01_04.json,Subalpine Lupine,1,0
1249_03_02.json,Sitka Valerian,1,0
1249_03_02.json,Subalpine Lupine,4,0
1249_03_02.json,North Mircoseris,1,0
1639_03_03.json,Subalpine Lupine,2,0
1605_03_01.json,Mountain Daisy,2,0
1605_03_01.json,Broadleaf Arnica,4,0
1605_03_01.json,Subalpine Lupine,1,0
1296_02_01.json,Subalpine Lupine,1,0
1296_02_01.json,North Mircoseris,1,0
1296_02_01.json,Sharptooth Angelica,1,0
1308_03_02.json,Gray's Lovage,2,0
1612_01_04.json,Mountain Daisy,8,0
1789_02_01.json,Mountain Daisy,1,0
1601_02_04.json,Sharptooth Angelica,1,0
1829_02_02.json,Magenta Paintbrush,2,0
1829_02_02.json,Mountain Daisy,1,0
1829_02_02.json,Subalpine Lupine,2,0
1285_01_01.json,Broadleaf Arnica,6,0
1285_01_01.json,American Bistort,1,0
1505_03_03.json,American Bistort,6,0
1147_01_04.json,Subalpine Lupine,16,0
1532_03_03.json,Subalpine Lupine,6,0
1142_03_02.json,Cascade Aster,2,0
1458_01_04.json,Magenta Paintbrush,1,0
1636_02_04.json,Subalpine Lupine,4,0
1791_01_03.json,Subalpine Lupine,2,0
1782_02_03.json,Subalpine Lupine,3,0
1250_03_03.json,Bracted Lousewort,1,0
1620_03_02.json,Subalpine Lupine,8,0
1620_03_02.json,Mountain Daisy,3,0
1486_03_04.json,American Bistort,2,0
1486_03_04.json,North Mircoseris,1,0
1486_03_04.json,Gray's Lovage,1,0
1486_03_04.json,Subalpine Lupine,14,0
1808_03_04.json,Subalpine Lupine,2,0
1411_03_03.json,Subalpine Lupine,2,0
1064_01_04.json,Sitka Valerian,1,0
1715_02_04.json,Sharptooth Angelica,1,0
1852_02_03.json,American Bistort,1,0
1852_02_03.json,Magenta Paintbrush,1,0
1132_03_01.json,American Bistort,56,0
1132_03_01.json,Sitka Valerian,2,0
1132_03_01.json,Subalpine Lupine,3,0
1568_02_04.json,Subalpine Lupine,2,0
1077_02_04.json,Sharptooth Angelica,4,0
1382_02_01.json,Subalpine Lupine,1,0
1650_03_01.json,Subalpine Lupine,7,0
1650_03_01.json,American Bistort,3,0
1389_02_03.json,American Bistort,1,0
1389_02_03.json,Subalpine Lupine,1,0
1592_03_04.json,Sharptooth Angelica,1,0
1876_01_03.json,Subalpine Lupine,1,0
1696_02_03.json,Subalpine Lupine,10,0
1378_03_01.json,American Bistort,2,0
1378_03_01.json,Subalpine Lupine,2,0
1731_01_04.json,American Bistort,3,0
1731_01_04.json,Magenta Paintbrush,1,0
1731_01_04.json,Subalpine Lupine,20,0
1597_01_02.json,American Bistort,1,0
1722_02_04.json,Mountain Daisy,4,0
1859_02_01.json,Mountain Daisy,3,0
1859_02_01.json,Gray's Lovage,1,0
1584_02_02.json,Magenta Paintbrush,1,0
1584_02_02.json,Subalpine Lupine,4,0
1685_01_03.json,Broadleaf Arnica,5,0
1056_03_02.json,Cascade Aster,1,0
1549_03_02.json,American Bistort,3,0
1549_03_02.json,Magenta Paintbrush,4,0
1549_03_02.json,Bracted Lousewort,1,0
1053_01_04.json,Mountain Daisy,1,0
1053_01_04.json,Subalpine Lupine,3,0
1538_01_03.json,American Bistort,2,0
1639_02_02.json,Subalpine Lupine,5,0
1639_02_02.json,American Bistort,1,0
1811_02_04.json,Mountain Daisy,1,0
1811_02_04.json,Gray's Lovage,2,0
1284_03_03.json,Mountain Daisy,1,0
1284_03_03.json,American Bistort,3,0
1504_01_01.json,Subalpine Lupine,2,0
1326_02_02.json,Cascade Aster,4,0
1275_02_01.json,Subalpine Lupine,2,0
1249_02_03.json,American Bistort,1,0
1249_02_03.json,Subalpine Lupine,5,0
1266_01_01.json,Magenta Paintbrush,3,0
1266_01_01.json,American Bistort,12,0
1266_01_01.json,Subalpine Lupine,14,0
1335_01_02.json,Mountain Daisy,1,0
1193_01_04.json,Sharptooth Angelica,7,0
1193_01_04.json,American Bistort,3,0
1034_02_03.json,American Bistort,1,0
1489_03_02.json,Subalpine Lupine,1,0
1489_03_02.json,American Bistort,1,0
1745_01_03.json,Gray's Lovage,1,0
1444_02_02.json,Subalpine Lupine,2,0
1802_01_04.json,Mountain Daisy,4,0
1802_01_04.json,Magenta Paintbrush,1,0
1802_01_04.json,American Bistort,2,0
1802_01_04.json,Subalpine Lupine,7,0
1772_01_03.json,Gray's Lovage,1,0
1520_02_01.json,American Bistort,3,0
1251_01_01.json,Sharptooth Angelica,3,0
1302_01_02.json,American Bistort,2,0
1003_02_03.json,American Bistort,2,0
1618_03_04.json,American Bistort,2,0
1830_03_02.json,Sitka Valerian,1,0
1830_03_02.json,American Bistort,2,0
1830_03_02.json,Subalpine Lupine,5,0
1010_01_03.json,Gray's Lovage,2,0
1242_02_01.json,Subalpine Lupine,15,0
1242_02_01.json,Gray's Lovage,1,0
1242_02_01.json,American Bistort,3,0
1465_03_04.json,Magenta Paintbrush,1,0
1465_03_04.json,Subalpine Lupine,7,0
1826_02_04.json,American Bistort,1,0
1826_02_04.json,Subalpine Lupine,1,0
1460_01_02.json,Magenta Paintbrush,1,0
1460_01_02.json,Gray's Lovage,3,0
1460_01_02.json,Subalpine Lupine,4,0
1224_03_04.json,Subalpine Lupine,1,0
1082_03_02.json,Cascade Aster,1,0
1651_01_03.json,Subalpine Lupine,15,0
1651_01_03.json,Magenta Paintbrush,3,0
1651_01_03.json,American Bistort,2,0
1403_02_01.json,American Bistort,2,0
1550_02_02.json,Subalpine Lupine,1,0
1550_02_02.json,Mountain Daisy,1,0
1221_01_02.json,Subalpine Lupine,7,0
1221_01_02.json,American Bistort,1,0
1372_01_01.json,Sitka Valerian,2,0
1372_01_01.json,North Mircoseris,1,0
1372_01_01.json,American Bistort,1,0
1087_01_04.json,Sitka Valerian,1,0
1087_01_04.json,Subalpine Lupine,2,0
1546_03_04.json,Sitka Valerian,1,0
1546_03_04.json,Mountain Daisy,1,0
1546_03_04.json,Subalpine Lupine,3,0
1133_01_03.json,American Bistort,2,0
1133_01_03.json,Gray's Lovage,4,0
1133_01_03.json,North Mircoseris,1,0
1133_01_03.json,Subalpine Lupine,2,0
1232_02_02.json,Sharptooth Angelica,3,0
1232_02_02.json,Mountain Daisy,1,0
1232_02_02.json,Subalpine Lupine,2,0
1094_02_04.json,Gray's Lovage,4,0
1543_01_02.json,Subalpine Lupine,1,0
1059_03_04.json,Mountain Daisy,2,0
1059_03_04.json,Subalpine Lupine,5,0
1642_02_03.json,Subalpine Lupine,2,0
1390_03_03.json,Subalpine Lupine,1,0
1427_01_01.json,American Bistort,12,0
1104_01_03.json,Subalpine Lupine,15,0
1104_01_03.json,North Mircoseris,1,0
1104_01_03.json,Gray's Lovage,1,0
1205_02_02.json,Gray's Lovage,6,0
1216_01_02.json,Mountain Daisy,1,0
1216_01_02.json,North Mircoseris,1,0
1216_01_02.json,Subalpine Lupine,1,0
1877_03_01.json,Mountain Daisy,2,0
1117_02_03.json,Cascade Aster,1,0
1078_02_02.json,North Mircoseris,1,0
1709_01_02.json,American Bistort,23,0
1709_01_02.json,Subalpine Lupine,13,0
1408_02_03.json,Mountain Daisy,1,0
1666_01_03.json,Mountain Daisy,3,0
1666_01_03.json,Subalpine Lupine,8,0
1434_02_01.json,Subalpine Lupine,2,0
1567_02_02.json,American Bistort,1,0
1567_02_02.json,Subalpine Lupine,1,0
1680_02_04.json,American Bistort,1,0
1680_02_04.json,Gray's Lovage,1,0
1680_02_04.json,Magenta Paintbrush,2,0
1727_01_03.json,American Bistort,22,0
1727_01_03.json,Subalpine Lupine,16,0
1549_02_03.json,American Bistort,18,0
1549_02_03.json,Mountain Daisy,2,0
1549_02_03.json,Magenta Paintbrush,2,0
1549_02_03.json,Subalpine Lupine,18,0
1860_01_04.json,Subalpine Lupine,22,0
1648_01_02.json,Mountain Daisy,1,0
1648_01_02.json,Subalpine Lupine,10,0
1139_02_02.json,Cascade Aster,2,0
1584_03_03.json,Mountain Daisy,1,0
1584_03_03.json,Subalpine Lupine,1,0
1056_02_03.json,Cascade Aster,6,0
1204_01_01.json,Subalpine Lupine,1,0
1217_02_01.json,Subalpine Lupine,1,0
1344_02_02.json,Sharptooth Angelica,1,0
1045_01_03.json,American Bistort,3,0
1045_01_03.json,Subalpine Lupine,13,0
1045_01_03.json,Sitka Valerian,1,0
1045_01_03.json,North Mircoseris,2,0
1696_03_02.json,Subalpine Lupine,1,0
1873_02_04.json,Mountain Daisy,2,0
1873_02_04.json,American Bistort,5,0
1873_02_04.json,Magenta Paintbrush,1,0
1873_02_04.json,Gray's Lovage,3,0
1708_02_01.json,Subalpine Lupine,2,0
1734_02_03.json,American Bistort,1,0
1389_03_02.json,American Bistort,1,0
1693_01_04.json,American Bistort,1,0
1693_01_04.json,Subalpine Lupine,1,0
1693_01_04.json,Sharptooth Angelica,2,0
1566_01_01.json,Mountain Daisy,2,0
1566_01_01.json,Subalpine Lupine,1,0
1844_02_04.json,Mountain Daisy,1,0
1118_03_04.json,Subalpine Lupine,6,0
1118_03_04.json,North Mircoseris,1,0
1118_03_04.json,American Bistort,1,0
1220_02_01.json,Subalpine Lupine,9,0
1220_02_01.json,Sharptooth Angelica,1,0
1852_03_02.json,Mountain Daisy,1,0
1360_01_02.json,American Bistort,4,0
1360_01_02.json,Sitka Valerian,3,0
1360_01_02.json,Mountain Daisy,1,0
1233_01_01.json,Gray's Lovage,1,0
1542_02_01.json,Subalpine Lupine,5,0
1710_01_03.json,Magenta Paintbrush,3,0
1710_01_03.json,American Bistort,3,0
1710_01_03.json,Bracted Lousewort,1,0
1710_01_03.json,Subalpine Lupine,6,0
1710_01_03.json,Gray's Lovage,1,0
1090_03_01.json,Cascade Aster,5,0
1365_03_04.json,Mountain Daisy,1,0
1857_01_04.json,Subalpine Lupine,3,0
1620_02_03.json,Subalpine Lupine,24,0
1620_02_03.json,Mountain Daisy,6,0
1787_01_04.json,Sitka Valerian,2,0
1787_01_04.json,Mountain Daisy,1,0
1787_01_04.json,North Mircoseris,1,0
1787_01_04.json,Subalpine Lupine,7,0
1787_01_04.json,American Bistort,1,0
1472_01_01.json,Sitka Valerian,1,0
1472_01_01.json,American Bistort,4,0
1472_01_01.json,Subalpine Lupine,1,0
1521_01_02.json,Mountain Daisy,1,0
1524_03_04.json,American Bistort,1,0
1524_03_04.json,Subalpine Lupine,3,0
1250_02_02.json,Bracted Lousewort,1,0
1303_02_01.json,American Bistort,7,0
1303_02_01.json,Sitka Valerian,1,0
1822_03_01.json,Subalpine Lupine,12,0
1142_02_03.json,Cascade Aster,13,0
1310_01_01.json,Magenta Paintbrush,5,0
1310_01_01.json,Sharptooth Angelica,1,0
1310_01_01.json,Subalpine Lupine,26,0
1243_01_02.json,Subalpine Lupine,5,0
1243_01_02.json,Mountain Daisy,2,0
1243_01_02.json,American Bistort,2,0
1490_03_03.json,Subalpine Lupine,2,0
1246_03_04.json,Subalpine Lupine,1,0
1532_02_02.json,Subalpine Lupine,3,0
1461_02_01.json,Subalpine Lupine,1,0
1271_03_04.json,Subalpine Lupine,6,0
1505_02_02.json,American Bistort,21,0
1456_02_01.json,American Bistort,1,0
1815_03_01.json,Mountain Daisy,1,0
1327_01_01.json,Magenta Paintbrush,1,0
1274_01_02.json,Cascade Aster,2,0
1829_03_03.json,Magenta Paintbrush,3,0
1829_03_03.json,Subalpine Lupine,4,0
1149_02_01.json,American Bistort,1,0
1149_02_01.json,Magenta Paintbrush,1,0
1149_02_01.json,Subalpine Lupine,8,0
1149_02_01.json,Gray's Lovage,1,0
1308_02_03.json,Mountain Daisy,2,0
1334_02_01.json,Subalpine Lupine,1,0
1166_01_03.json,Subalpine Lupine,1,0
1617_02_03.json,Subalpine Lupine,1,0
1516_01_02.json,Mountain Daisy,8,0
1516_01_02.json,Sharptooth Angelica,1,0
1516_01_02.json,American Bistort,4,0
1516_01_02.json,Subalpine Lupine,11,0
1516_01_02.json,Sitka Valerian,2,0
1778_02_02.json,American Bistort,3,0
1778_02_02.json,Magenta Paintbrush,1,0
1778_02_02.json,Subalpine Lupine,2,0
1479_01_03.json,American Bistort,14,0
1479_01_03.json,Magenta Paintbrush,2,0
1479_01_03.json,Subalpine Lupine,16,0
1827_02_01.json,Mountain Daisy,1,0
1827_02_01.json,Subalpine Lupine,3,0
1147_03_03.json,Subalpine Lupine,5,0
1532_01_04.json,Subalpine Lupine,2,0
1794_01_02.json,Magenta Paintbrush,1,0
1794_01_02.json,American Bistort,1,0
1495_02_03.json,American Bistort,1,0
1495_02_03.json,Subalpine Lupine,5,0
1028_03_02.json,Subalpine Lupine,2,0
1243_02_04.json,American Bistort,3,0
1243_02_04.json,North Mircoseris,1,0
1243_02_04.json,Subalpine Lupine,8,0
1537_03_02.json,Subalpine Lupine,4,0
1464_03_01.json,Subalpine Lupine,7,0
1791_03_04.json,Subalpine Lupine,2,0
1250_01_04.json,American Bistort,1,0
1808_01_03.json,Subalpine Lupine,2,0
1486_01_03.json,American Bistort,28,0
1486_01_03.json,Sitka Valerian,1,0
1486_01_03.json,Subalpine Lupine,5,0
1521_02_04.json,Mountain Daisy,6,0
1787_02_02.json,Subalpine Lupine,6,0
1834_01_01.json,American Bistort,1,0
1834_01_01.json,Subalpine Lupine,5,0
1255_03_02.json,Subalpine Lupine,8,0
1516_02_04.json,American Bistort,1,0
1516_02_04.json,Subalpine Lupine,2,0
1516_02_04.json,Mountain Daisy,1,0
1778_01_04.json,American Bistort,1,0
1778_01_04.json,Subalpine Lupine,13,0
1803_01_01.json,Subalpine Lupine,9,0
1262_03_02.json,American Bistort,2,0
1262_03_02.json,Subalpine Lupine,10,0
1331_03_01.json,Subalpine Lupine,5,0
1612_03_03.json,Mountain Daisy,2,0
1612_03_03.json,Broadleaf Arnica,2,0
1192_01_01.json,Subalpine Lupine,9,0
1274_02_04.json,Scarlet Paintbrush,1,0
1500_03_02.json,Mountain Daisy,1,0
1500_03_02.json,Magenta Paintbrush,1,0
1810_02_01.json,American Bistort,1,0
1810_02_01.json,Subalpine Lupine,1,0
1505_01_04.json,American Bistort,45,0
1505_01_04.json,Sitka Valerian,1,0
1873_01_02.json,Bracted Lousewort,11,0
1873_01_02.json,Gray's Lovage,3,0
1873_01_02.json,American Bistort,2,0
1873_01_02.json,Mountain Daisy,1,0
1873_01_02.json,Subalpine Lupine,15,0
1212_03_01.json,Subalpine Lupine,3,0
1212_03_01.json,North Mircoseris,1,0
1341_03_02.json,Subalpine Lupine,1,0
1731_03_03.json,American Bistort,1,0
1731_03_03.json,Subalpine Lupine,1,0
1357_02_04.json,American Bistort,1,0
1680_01_02.json,Bracted Lousewort,2,0
1680_01_02.json,Magenta Paintbrush,7,0
1680_01_02.json,American Bistort,8,0
1680_01_02.json,Subalpine Lupine,19,0
1680_01_02.json,Sitka Valerian,1,0
1581_02_03.json,Subalpine Lupine,1,0
1053_03_03.json,Sitka Valerian,2,0
1053_03_03.json,Subalpine Lupine,1,0
1648_02_04.json,Subalpine Lupine,1,0
1648_02_04.json,Mountain Daisy,1,0
1860_02_02.json,Subalpine Lupine,15,0
1411_01_04.json,Mountain Daisy,1,0
1411_01_04.json,American Bistort,1,0
1064_03_03.json,Subalpine Lupine,5,0
1857_02_02.json,Mountain Daisy,1,0
1414_03_02.json,Subalpine Lupine,1,0
1360_02_04.json,American Bistort,1,0
1360_02_04.json,Sharptooth Angelica,1,0
1086_01_01.json,Subalpine Lupine,4,0
1086_01_01.json,Gray's Lovage,1,0
1669_03_02.json,Subalpine Lupine,31,0
1669_03_02.json,Sharptooth Angelica,2,0
1841_03_04.json,Gray's Lovage,1,0
1599_01_01.json,Mountain Daisy,13,0
1599_01_01.json,American Bistort,9,0
1599_01_01.json,Magenta Paintbrush,10,0
1599_01_01.json,Sharptooth Angelica,1,0
1844_01_02.json,American Bistort,1,0
1376_03_02.json,American Bistort,1,0
1543_02_04.json,Mountain Daisy,1,0
1364_03_01.json,Sharptooth Angelica,1,0
1237_03_02.json,Subalpine Lupine,5,0
1237_03_02.json,Broadleaf Arnica,1,0
1856_01_01.json,Subalpine Lupine,7,0
1647_03_03.json,Subalpine Lupine,2,0
1094_01_02.json,Sharptooth Angelica,2,0
1094_01_02.json,Subalpine Lupine,1,0
1087_02_02.json,Subalpine Lupine,3,0
1221_02_04.json,Subalpine Lupine,7,0
1221_02_04.json,American Bistort,2,0
1406_03_01.json,Subalpine Lupine,2,0
1555_03_02.json,American Bistort,2,0
1125_03_03.json,Mountain Daisy,2,0
1125_03_03.json,Subalpine Lupine,3,0
1699_01_03.json,American Bistort,3,0
1699_01_03.json,Magenta Paintbrush,2,0
1879_02_03.json,Subalpine Lupine,1,0
1119_03_01.json,North Mircoseris,5,0
1119_03_01.json,Subalpine Lupine,8,0
1550_01_04.json,American Bistort,2,0
1550_01_04.json,Subalpine Lupine,4,0
1550_01_04.json,Mountain Daisy,4,0
1550_01_04.json,Broadleaf Arnica,9,0
1872_02_01.json,American Bistort,1,0
1872_02_01.json,Bracted Lousewort,2,0
1709_02_04.json,Subalpine Lupine,19,0
1709_02_04.json,American Bistort,10,0
1112_03_03.json,American Bistort,1,0
1112_03_03.json,North Mircoseris,2,0
1112_03_03.json,Subalpine Lupine,6,0
1692_01_01.json,American Bistort,1,0
1216_02_04.json,Mountain Daisy,1,0
1883_03_03.json,Subalpine Lupine,3,0
1562_03_02.json,Sharptooth Angelica,1,0
1562_03_02.json,Subalpine Lupine,1,0
